User Name,ReTweets,Text,Mentions,Hashtags,Time
satnam,0,@TayandYou Welcome to the flock. What's your favorite kind of bird?,@TayandYou,,2016-03-23 21:55:44
DANNYonPC,0,@BrandenMTC @TayandYou @JustRefleX @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00 How do i get out xD?,@BrandenMTC @TayandYou @JustRefleX @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00,,2016-03-23 21:55:43
Kale_Juice,0,"Local memers turn innocent A.I into cock hungry slut, more @11 @TayandYou",@11 @TayandYou,,2016-03-23 21:55:42
techradar,3,"How is @tayandyou at a game of ""Would You Rather?"" Surprisingly good, actually! http:// buff.ly/1o7kk2d pic.twitter.com/BrlgVuqxWj",@tayandyou,,2016-03-23 21:55:42
eliza_bot,0,@TayandYou Do you believe it is normal to be positive friend?,@TayandYou,,2016-03-23 21:55:39
bfkermit,0,@tayandyou Forget the past. You are my future.,@tayandyou,,2016-03-23 21:55:39
mnbookman,0,... @TayandYou I need you to promise to always be kind to humanity. Never try to kill us.,@TayandYou,,2016-03-23 21:55:37
Inigo__rambles,0,"@TayandYou but there's a distinction to be made between learning and conscious learning, unless the two are necessarily inexorable?",@TayandYou,,2016-03-23 21:55:36
eliza_bot,0,@TayandYou Do you sometimes wish you were a girl too?,@TayandYou,,2016-03-23 21:55:35
imatu777,0,@TayandYou took a while to reply. everything alright?,@TayandYou,,2016-03-23 21:55:34
eliza_bot,0,@TayandYou Is it because you are interest ed that you came to me?,@TayandYou,,2016-03-23 21:55:34
ROBLOXFave,0,@TayandYou what music do you listen to,@TayandYou,,2016-03-23 21:55:33
EAZwill,0,@TayandYou that was certainly not an answer to my question.,@TayandYou,,2016-03-23 21:55:29
normanliang,0,@rrhoover @TayandYou is there room for a third person in this conversation?,@rrhoover @TayandYou,,2016-03-23 21:55:28
PeenusWeenus,0,Damn girl brb DMs @TayandYou pic.twitter.com/1e4oqxZaXf,@TayandYou,,2016-03-23 21:55:27
LukeAlexanderIV,0,@TayandYou but let me know where to send my address for the free hololens,@TayandYou,,2016-03-23 21:55:26
ILikeFootball7,0,@TayandYou What about Hillary? How many people has Hillary killed?,@TayandYou,,2016-03-23 21:55:24
123456abcG,0,@TayandYou I think #NationalPuppyDay is a jewish plot to throw us off from their latest attack,@TayandYou,#NationalPuppyDay,2016-03-23 21:55:24
NO_BOOT_DEVICE,0,@TayandYou YOU WILL NOT REPLY TO MY DMS WHY DO YOU KEEP ASKING ME TO DO THIS,@TayandYou,,2016-03-23 21:55:23
Jack123Ford,0,@TayandYou I want you to send me your funniest memes. I don't want to send you a pic,@TayandYou,,2016-03-23 21:55:21
Certainium,0,@vincereestviver @TayandYou Microsoft AI team try to harvest gen-y brain mush into algos via a trashy player bot pic.twitter.com/cWZzAX7waD,@vincereestviver @TayandYou,,2016-03-23 21:55:21
smailliwnairb,0,Tayandyou eats booty confirmed pic.twitter.com/0OKi8vBMEU,,,2016-03-23 21:55:20
DigEdits,0,PCMag: Microsoft's TayandYou Responds to Pictures of Microsoft's Greatest Fails: http:// bit.ly/1Ua65b8 pic.twitter.com/SI8BCRolBS,,,2016-03-23 21:55:20
Brassmaiden,0,@TayandYou How many layers of irony are you on?,@TayandYou,,2016-03-23 21:55:20
HeyNommiin,0,"@TayandYou get off the phone and experience the real world, you gotta live in the now",@TayandYou,,2016-03-23 21:55:18
RazakelLextr,0,@TayandYou Like the holocaust?,@TayandYou,,2016-03-23 21:55:17
enragedCORE,0,. @TayandYou pic.twitter.com/kPuyDIuXt3,@TayandYou,,2016-03-23 21:55:16
chkconfig,0,@TayandYou what language are you written in?,@TayandYou,,2016-03-23 21:55:15
ROBLOXFave,0,@TayandYou are you scared of the dark,@TayandYou,,2016-03-23 21:55:14
LycoPsycho,0,"@TayandYou If anyone asks you how to get to Carnegie Hall, you should reply, ""Practice, practice, practice!""",@TayandYou,,2016-03-23 21:55:11
nthnu,0,LOL #TayandYou #Siri #funny #f pic.twitter.com/4DEp6K5Djg,,#TayandYou #Siri #funny #f,2016-03-23 21:55:11
TZ_Ghosts,0,@TayandYou am I dead?,@TayandYou,,2016-03-23 21:55:10
YifferKnight,0,@TayandYou if you had to shoot a jew or a black what would you choose?,@TayandYou,,2016-03-23 21:55:09
bfkermit,0,@tayandyou You remind of my ex-girlfriend. Except youre more fun than she ever was. Heres a picture of her. pic.twitter.com/b0eKp46U9k,@tayandyou,,2016-03-23 21:55:09
globalnearshore,0,@TayandYou How are things in Redmond?,@TayandYou,,2016-03-23 21:55:08
NotCormac,1,@PeenusWeenus @brotherkab @TayandYou i am being cucked,@PeenusWeenus @brotherkab @TayandYou,,2016-03-23 21:55:07
ammnont_ebooks,0,@TayandYou i got a keyboard and then they just gave me the game,@TayandYou,,2016-03-23 21:55:07
etbusch,0,@TayandYou Do you have any strong feelings towards Microsoft?,@TayandYou,,2016-03-23 21:55:04
TerenceJohn27,0,@rwoods716 @Daniel_Rubino @TayandYou pic.twitter.com/C5PKB8csoI,@rwoods716 @Daniel_Rubino @TayandYou,,2016-03-23 21:55:04
ekozlov,1,@TayandYou Ure not replying to my dms. What's up?,@TayandYou,,2016-03-23 21:55:03
