media_id,label_result,text_result
1220428535522543182_266956168,"{u'soil': '0.67309117', u'woody plant': '0.7131055', u'plant': '0.78495967', u'sunlight': '0.76229179', u'leaf': '0.75867724', u'habitat': '0.97367966', u'wilderness': '0.8840428', u'nature': '0.94771862', u'woodland': '0.87487161', u'morning': '0.727896', u'tree': '0.929093', u'season': '0.78041732', u'natural environment': '0.88518518', u'autumn': '0.71499807', u'atmospheric phenomenon': '0.87159365', u'forest': '0.8820073', u'ecosystem': '0.83507729', u'wetland': '0.56968313', u'grass': '0.74021018', u'winter': '0.69972467'}",[]
1219636712139327450_2123151472,"{u'blue': '0.91238493', u'image': '0.90305561', u'arm': '0.69698685', u'advertising': '0.51281679'}",[]
928738229157979666_1691509696,"{u'text': '0.93864512', u'shape': '0.58061612', u'book': '0.63114786', u'writing': '0.5698601'}","[u'John C. Parkin\nktir et\nhayatta hicbir sey senden onemli degil\n', u'John', u'C.', u'Parkin', u'ktir', u'et', u'hayatta', u'hicbir', u'sey', u'senden', u'onemli', u'degil']"
443779697392981133_18162276,"{u'person': '0.89741904', u'image': '0.90072304', u'people': '0.87531644'}","[u'e\n', u'e']"
1029276066113734542_14490336,"{u'person': '0.91542608', u'head': '0.74357796', u'face': '0.94195342'}","[u'EA\n', u'EA']"
1137297277260772286_2284997411,"{u'dog crossbreeds': '0.60349542', u'close up': '0.7319746', u'eye': '0.52554214', u'irish soft coated wheaten terrier': '0.55287778', u'vertebrate': '0.92369682', u'dog': '0.98552811', u'schnoodle': '0.63827145', u'goldendoodle': '0.68102324', u'dog breed group': '0.77885294', u'nose': '0.86483443', u'mammal': '0.93663186', u'dog like mammal': '0.76319432', u'puppy': '0.64464056', u'terrier': '0.56551009', u'havanese': '0.50324494', u'west highland white terrier': '0.55457908'}",[]
791597748825898166_5454366,"{u'town': '0.85486054', u'city': '0.81519246', u'restaurant': '0.52778852', u'downtown': '0.64415163', u'street': '0.67852086', u'neighbourhood': '0.80830985'}","[u'ilianIV-pill. L\ntr\n', u'ilianIV', u'-', u'pill', u'.', u'L', u'tr']"
1034014903142234481_290864141,"{u'eyelash extensions': '0.65460229', u'head': '0.75247687', u'eye': '0.76209134', u'organ': '0.68487775', u'beauty': '0.84268337', u'color': '0.96886373', u'brown hair': '0.75612527', u'cheek': '0.84463739', u'hairstyle': '0.71180207', u'eyebrow': '0.94312662', u'face': '0.96141618', u'hair': '0.955694', u'eyelash': '0.82447547', u'hair coloring': '0.8181451', u'lip': '0.77333373', u'nose': '0.90369958', u'skin': '0.73677504', u'long hair': '0.65676969', u'black hair': '0.65767157'}","[u'IMAGES\n', u'IMAGES']"
805097453484271582_19045024,"{u'facade': '0.59012663', u'tours': '0.52446425'}","[u'\u51fa\nr\n', u'\u51fa', u'r']"
1219765467300564572_321253906,"{u'brown': '0.91627818', u'hairstyle': '0.82704234', u'moustache': '0.66997927', u'brown hair': '0.73734719', u'cap': '0.65778154', u'costume': '0.673489', u'head': '0.74147522', u'hair': '0.96976668', u'nose': '0.89439428', u'glasses': '0.55476767', u'clothing': '0.9158445', u'long hair': '0.71665138'}","[u'\u30bb:\nTOMG\n', u'\u30bb', u':', u'TOMG']"
1220965359459328727_1467957135,"{u'human body': '0.54720992', u'thigh': '0.85021728', u'leg': '0.759721', u'monochrome photography': '0.51583356', u'tights': '0.84719694', u'abdomen': '0.50804752', u'trousers': '0.60382277', u'fashion accessory': '0.66997159', u'clothing': '0.93429136', u'arm': '0.65045768', u'black and white': '0.90020686'}",[]
250787864174204727_17086348,"{u'sunlight': '0.54582143', u'meadow': '0.58415657', u'plain': '0.79711521', u'jungle': '0.5042724', u'sky': '0.96049869', u'tree': '0.84799439', u'morning': '0.74512213', u'human settlement': '0.7701202', u'field': '0.73346186', u'landscape': '0.64279908', u'flower': '0.521816', u'atmospheric phenomenon': '0.89574313', u'hill': '0.7835604', u'horizon': '0.77541882', u'ecosystem': '0.83510023', u'wetland': '0.5237875', u'valley': '0.53424597', u'agriculture': '0.808333', u'cloud': '0.71458703', u'rural area': '0.69360685'}",[]
1220822644363757652_1528935897,"{u'presentation': '0.52441031', u'brand': '0.59691668', u't shirt': '0.50334257', u'clothing': '0.9037922'}","[u'a\nl sy\n', u'a', u'l', u'sy']"
1205116026919333424_3033192570,"{u'lens flare': '0.59077442', u'font': '0.68335164', u'line': '0.5125671', u'screenshot': '0.56055158'}",[]
713803123323255845_190719046,"{u'fun': '0.8636083', u'play': '0.80503005', u'child': '0.76256877', u'people': '0.90190321'}",[]
1214344352592487146_1729949535,"{u'document': '0.64353764', u'screenshot': '0.60178763', u'text': '0.94356686', u'brand': '0.59691668', u'diagram': '0.6229772', u'line': '0.55684137', u'font': '0.8020578', u'presentation': '0.534873'}","[u""Tweet\nThe Captain\n@sgrstk\nI'm not racist, I love all races. Except\nmarathons. Fuck running\n8:46 PM 29 Sep 14\ndi VIEW TWEET ACTIVITY\n95\nRETWEETS 137\nFAVORITES\n"", u'Tweet', u'The', u'Captain', u'@sgrstk', u""I'm"", u'not', u'racist,', u'I', u'love', u'all', u'races.', u'Except', u'marathons.', u'Fuck', u'running', u'8:46', u'PM', u'29', u'Sep', u'14', u'di', u'VIEW', u'TWEET', u'ACTIVITY', u'95', u'RETWEETS', u'137', u'FAVORITES']"
1220460820766679664_446736303,"{u'image': '0.90043396', u'clothing': '0.91542006', u'costume': '0.59027719', u'red': '0.90979832'}",[]
1013423399764163078_13795189,"{u'recreation': '0.62540549', u'nebula': '0.58074409', u'screenshot': '0.55846345', u'fireworks': '0.84344935', u'sunlight': '0.56775463', u'outdoor recreation': '0.68155378'}",[]
1220964259094902740_203574908,"{u'product': '0.73420227', u'fashion accessory': '0.6925621', u'outerwear': '0.65392226', u'sleeve': '0.86621869', u'photo shoot': '0.525086', u'cap': '0.79811472', u'infant': '0.55244792', u'hand': '0.557896', u'human body': '0.54364181', u't shirt': '0.56710589', u'child': '0.66528779', u'pattern': '0.51658863', u'collar': '0.54072207', u'toddler': '0.78251374', u'clothing': '0.9249537', u'arm': '0.7128588', u'neck': '0.60907894'}",[]
1187936551790219991_2159502595,"{u'hair': '0.97234309', u'person': '0.90422893', u'hairstyle': '0.84849107', u'facial hair': '0.67362779'}","[u'3 W\n', u'3', u'W']"
800079655393820528_238029350,"{u'triathlon': '0.53808242', u'bicycle': '0.83923638', u'bicycle racing': '0.56031406', u'people': '0.8728894', u'duathlon': '0.52732325', u'sports equipment': '0.54013294', u'endurance sports': '0.72690332', u'race': '0.59287363', u'vehicle': '0.90359777', u'cycling': '0.87502611', u'cyclo cross': '0.53991169'}",[]
445795242970068530_30824748,"{u'lawn': '0.72376746', u'sunlight': '0.59632343', u'suburb': '0.66905665', u'farm': '0.78395426', u'plain': '0.90032119', u'sky': '0.9583084', u'grass family': '0.68069923', u'tree': '0.84551293', u'morning': '0.68955564', u'human settlement': '0.7911129', u'field': '0.91587842', u'prairie': '0.76317233', u'rural area': '0.75021023', u'horizon': '0.87137395', u'pasture': '0.90228212', u'grass': '0.86811686', u'agriculture': '0.88312453', u'residential area': '0.80389965', u'landscape': '0.66693306', u'hill': '0.70188189'}","[u'Ill Til Ill\ub5bc llllllITIII llDI\u2162IUIIIIIIllnnllllllllllllllllllllllllllllllllllllllllllllllllllll\n', u'Ill', u'Til', u'Ill', u'\ub5bc', u'llllllITIII', u'llDI\u2162IUIIIIIIllnnllllllllllllllllllllllllllllllllllllllllllllllllllll']"
1219765091236029418_2942855743,"{u'pattern': '0.55049992', u'product': '0.73664868', u'material': '0.51361978', u'label': '0.57059973'}","[u'Smoking kills\n', u'Smoking', u'kills']"
1220430914249828690_178244361,"{u'eyelash extensions': '0.83383512', u'eye': '0.78070724', u'organ': '0.72533464', u'eyelash': '0.94273764', u'brand': '0.59691668', u'face': '0.94174057', u'lip': '0.60848826', u'cosmetics': '0.67917526', u'human body': '0.54784966'}","[u'Emotional abuse is just as damaginq\nas physical abuse. The only djerence\nbetween the lwc is with physical abuse\nyou are wearing it on the culside for\nthe world to see and the other is felt\ndeep inside. Others cannot see the\nbruises on your\nheart. N larry James\n', u'Emotional', u'abuse', u'is', u'just', u'as', u'damaginq', u'as', u'physical', u'abuse.', u'The', u'only', u'djerence', u'between', u'the', u'lwc', u'is', u'with', u'physical', u'abuse', u'you', u'are', u'wearing', u'it', u'on', u'the', u'culside', u'for', u'the', u'world', u'to', u'see', u'and', u'the', u'other', u'is', u'felt', u'deep', u'inside.', u'Others', u'cannot', u'see', u'the', u'bruises', u'on', u'your', u'heart.', u'N', u'larry', u'James']"
1205026172816749169_3023059763,"{u'photograph': '0.92828721', u'shadow': '0.72678268', u'darkness': '0.8605051', u'monochrome photography': '0.85691333', u'light': '0.82849729', u'image': '0.90073687', u'shape': '0.59174877', u'black': '0.95707452', u'monochrome': '0.84422445', u'white': '0.94634557', u'film noir': '0.68476784', u'photography': '0.85967875', u'black and white': '0.94112617'}",[]
1102325202031287922_11895582,"{u'brand': '0.59691668', u'label': '0.5809353', u'finger': '0.57862383', u'hand': '0.61095262'}","[u'DITI\nRni 872\nPANTONE\nPANTONE Warm\nPANTONE Yellow\n170 C\nPANTONE Trans.\nPANTONE PANTONE Warm Red 37.50\n12.50\nPANTONE Yellow\nPANTONE Trans, Wt 50.00\np ROG\nONE Warm Red 75.00\n', u'DITI', u'Rni', u'872', u'PANTONE', u'PANTONE', u'Warm', u'PANTONE', u'Yellow', u'170', u'C', u'PANTONE', u'Trans.', u'PANTONE', u'PANTONE', u'Warm', u'Red', u'37.50', u'12.50', u'PANTONE', u'Yellow', u'PANTONE', u'Trans,', u'Wt', u'50.00', u'p', u'ROG', u'ONE', u'Warm', u'Red', u'75.00']"
1182823503519119219_2931628932,"{u'forehead': '0.88025904', u'hairstyle': '0.79857159', u'eye': '0.58604348', u'organ': '0.65310371', u'photography': '0.82904732', u'head': '0.74908459', u'eyebrow': '0.96819937', u'face': '0.95891929', u'hair': '0.96811515', u'person': '0.9074868', u'nose': '0.88427943', u'selfie': '0.57732475'}",[]
175366575852320922_8082525,"{u'pattern': '0.59367853', u'art': '0.67082459', u'illustration': '0.54681659', u'organ': '0.65224355', u'wing': '0.54575366'}","[u'4P\nTh\n577 ital\n', u'4P', u'Th', u'577', u'ital']"
1220524435700281800_39301627,{u'social group': '0.9173004'},[]
1220999535798755980_1788053303,{u'album cover': '0.62951815'},"[u'RAAK NET RUSTIG\nONS WEET JOU PERSOONLIKHEID IS\nHAK\n', u'RAAK', u'NET', u'RUSTIG', u'ONS', u'WEET', u'JOU', u'PERSOONLIKHEID', u'IS', u'HAK']"
1216758072168295092_43607953,{},[]
1220440922346107270_2229544747,"{u'album cover': '0.50400907', u'interaction': '0.54672348', u'mouth': '0.72394323', u'advertising': '0.50150651'}","[u'HALFNAKED ON EVERY\nBLACK OWNED MAGAZINE BY DAY\nCONSERVATIVE REPUBLICAN BY NIGHT\nON FOX EVENING NEWS\n', u'HALFNAKED', u'ON', u'EVERY', u'BLACK', u'OWNED', u'MAGAZINE', u'BY', u'DAY', u'CONSERVATIVE', u'REPUBLICAN', u'BY', u'NIGHT', u'ON', u'FOX', u'EVENING', u'NEWS']"
