media_id,label_result,text_result
916400_662653540443470_1054651516_n,"{u'photo shoot': '0.510508', u'fashion': '0.67452407', u'beauty': '0.81089371', u'clothing': '0.91303396', u'facial expression': '0.9524762', u'smile': '0.80052716', u'girl': '0.854231', u'lady': '0.82639319', u'model': '0.59694648', u'glasses': '0.55177981'}",[]
10296699_702824743094169_1458179602_n,"{u'disciple': '0.50945079', u'people': '0.90336442'}","[u'THE THAT LOVETH FATHER OR MOTHER MORE THAN\nME IS NOT WORTHY OF ME: AND HE THAT LOVETH\nSON OR DAUGHTER MORE THAN MEISNOT\nWORTHY OF ME MATTHEW 10:3\nCTRuthog aphy\n', u'THE', u'THAT', u'LOVETH', u'FATHER', u'OR', u'MOTHER', u'MORE', u'THAN', u'ME', u'IS', u'NOT', u'WORTHY', u'OF', u'ME:', u'AND', u'HE', u'THAT', u'LOVETH', u'SON', u'OR', u'DAUGHTER', u'MORE', u'THAN', u'MEISNOT', u'WORTHY', u'OF', u'ME', u'MATTHEW', u'10:3', u'CTRuthog', u'aphy']"
1598945_258112354357911_1627289123_n,"{u'pattern': '0.61364627', u'circle': '0.65137225', u'art': '0.66394669', u'shape': '0.58288991'}",[]
1661532_658002327578731_1290687546_n,"{u'weather': '0.85129833', u'phenomenon': '0.94444287', u'screenshot': '0.57321906'}","[u'POLL\nTHANK YOU FOR VOTINGI\nNET POLL\nWhich final Royal Rumble Match competitorimpressed you\n30% Sheamus\n14% CM Punk\n15% Batista\n58% Roman Reigns\nTotal votes: 29984\n', u'POLL', u'THANK', u'YOU', u'FOR', u'VOTINGI', u'NET', u'POLL', u'Which', u'final', u'Royal', u'Rumble', u'Match', u'competitorimpressed', u'you', u'30%', u'Sheamus', u'14%', u'CM', u'Punk', u'15%', u'Batista', u'58%', u'Roman', u'Reigns', u'Total', u'votes:', u'29984']"
1527509_719848974715529_890016726_n,"{u'human body': '0.54290849', u'selfie': '0.60749841', u'thumb': '0.52305615', u'image': '0.90256965', u'trunk': '0.52905029', u'abdomen': '0.60107344', u'human action': '0.955183', u'chest': '0.5218277', u'finger': '0.75030595', u'hand': '0.5867101', u'sense': '0.579274', u'muscle': '0.7716493', u'clothing': '0.90385795', u'arm': '0.71679783'}","[u'CHLOOODEJADE\nWorked out hard, but drank Working out hard, eating a\nalcohol, ate refined carbs\nclean balanced diet!\nand sugars! Vegan.\nVS\nNon-vegetarian.\nAugust 2012\nDecember 2013\n', u'CHLOOODEJADE', u'Worked', u'out', u'hard,', u'but', u'drank', u'Working', u'out', u'hard,', u'eating', u'a', u'alcohol,', u'ate', u'refined', u'carbs', u'clean', u'balanced', u'diet!', u'and', u'sugars!', u'Vegan.', u'VS', u'Non-vegetarian.', u'August', u'2012', u'December', u'2013']"
10299709_457401251028857_424208545_n,"{u'biology': '0.77065486', u'text': '0.94875973', u'brand': '0.59691668', u'advertising': '0.68301457', u'font': '0.89591789', u'presentation': '0.53443742'}","[u'LIKE OUR LAST 3 PICTURES\nTO SOLVE THE FOLLOWING RIDDLE\nUSING THE FROM\nCOURTESY OF\ndPATRIOTSVIP\nle TOMIBRADOM\nHAD\nWES WELKER\nWAG FORTEO\nMARK SANCHEL\n4- MILHAELOORDAN\n44 HAD\nSPIDEVION MANNING\nWAS FORCED\nTO KILL\n5 LEBRON LAMES\n6- TO FIGHT\nRANDY MO55\n6- I WENT\nW T--TO ATTACK\nHAD\nDONALD STERLING\n9- TO KIONAP\nETM\ngel WENU\nO- TO KILL\nCOURTESY OF\nO- I HAD\nCPATRIOTSVIP\n', u'LIKE', u'OUR', u'LAST', u'3', u'PICTURES', u'TO', u'SOLVE', u'THE', u'FOLLOWING', u'RIDDLE', u'USING', u'THE', u'FROM', u'COURTESY', u'OF', u'dPATRIOTSVIP', u'le', u'TOMIBRADOM', u'HAD', u'WES', u'WELKER', u'WAG', u'FORTEO', u'MARK', u'SANCHEL', u'4-', u'MILHAELOORDAN', u'44', u'HAD', u'SPIDEVION', u'MANNING', u'WAS', u'FORCED', u'TO', u'KILL', u'5', u'LEBRON', u'LAMES', u'6-', u'TO', u'FIGHT', u'RANDY', u'MO55', u'6-', u'I', u'WENT', u'W', u'T--TO', u'ATTACK', u'HAD', u'DONALD', u'STERLING', u'9-', u'TO', u'KIONAP', u'ETM', u'gel', u'WENU', u'O-', u'TO', u'KILL', u'COURTESY', u'OF', u'O-', u'I', u'HAD', u'CPATRIOTSVIP']"
924895_1472369466320095_1947180755_n,"{u'hairstyle': '0.73134118', u'brand': '0.59691668', u'cap': '0.5673424', u'facial hair': '0.79661942', u'hair': '0.94724876', u'moustache': '0.67657346', u'cartoon': '0.81660211', u'beard': '0.59207457'}","[u'EYE ON IT\n', u'EYE', u'ON', u'IT']"
10005552_221112831420406_1085950845_n,"{u'head': '0.74644959', u'toddler': '0.6702646', u'eating': '0.8513521', u'human body': '0.54633623', u'organ': '0.69876105', u'tooth': '0.52238232', u'food': '0.50713813', u'ear': '0.59143341', u'play': '0.73486865', u'face': '0.95374972', u'mouth': '0.74628568', u'nose': '0.94001144', u'hand': '0.58773577', u'sense': '0.579274', u'eye': '0.69022143', u'human action': '0.96424425', u'hairstyle': '0.71171343', u'finger': '0.74299216'}","[u'donut-ur pussy\n', u'donut-ur', u'pussy']"
10254112_1459109644325816_32588185_n,"{u'small to medium sized cats': '0.77588522', u'vertebrate': '0.92310053', u'cat like mammal': '0.78887182', u'kitten': '0.7709198', u'mammal': '0.93606', u'cat': '0.99055409'}","[u'de\n', u'de']"
1389004_1416425388587288_2027689615_n,"{u'text': '0.93206394', u'religion': '0.51689672', u'font': '0.80636865', u'album cover': '0.55202788', u'presentation': '0.53187513'}","[u'THAT AWKWARD MOMENT\nWHEN YOU FIND OUT OUR LEADERS AND GLOBAL ELITE\nPERFORM A MOCK HUMAN SACRIFICE TO A 40FT STONE\nOWL IN NORTHERN CALIFORNIA EVERY SUMMER\n', u'THAT', u'AWKWARD', u'MOMENT', u'WHEN', u'YOU', u'FIND', u'OUT', u'OUR', u'LEADERS', u'AND', u'GLOBAL', u'ELITE', u'PERFORM', u'A', u'MOCK', u'HUMAN', u'SACRIFICE', u'TO', u'A', u'40FT', u'STONE', u'OWL', u'IN', u'NORTHERN', u'CALIFORNIA', u'EVERY', u'SUMMER']"
